phase,condition,drop_rate,gain_rate,bad_rate,score_drift
exp1,P1,0.42626262626262623,0.22235781846765829,0.0,4.3012568920013585
exp1,P2,0.26885336885336886,0.2640064419011787,0.06666666666666667,12.3992369803235
exp1,P3,0.5143412143412144,0.14428907053621012,0.03333333333333333,-3.560399627200432
exp1,P4,0.5165362415362416,0.11415249467881046,0.0,-6.231794228574912
exp1,P5,0.5372183372183372,0.1181063381063381,0.0,-6.64337714599284
exp1,P6,0.35710123210123207,0.10370746212851475,0.06666666666666667,-4.9357321417683595
exp2,G_k2,0.6202991452991452,0.09162299688615479,0.0,-7.840063759178448
exp2,G_k2_probe,0.2985847485847486,0.13616864616864616,0.0,-1.1107162455250987
exp2,G_k3,0.42012154512154515,0.1902786102786103,0.06666666666666667,3.6155217016384014
exp2,G_k3_probe,0.2518981018981019,0.1513386613386613,0.03333333333333333,2.3501685437299114
exp2,G_k4,0.6668470418470419,0.12444925444925445,0.0,-9.640899945125296
exp2,G_k4_probe,0.4010572760572761,0.06488844488844489,0.06666666666666667,-5.937455033229681
